encuesta_latitude,encuesta_longitude,zona,id,est
21.2297165,-86.7283699,Isla Mujeres,1,Socieconomico y ambiental
21.2303631,-86.7281228,Isla Mujeres,1,Socieconomico y ambiental
21.2297551,-86.7286249,Isla Mujeres,1,Socieconomico y ambiental
21.2582636,-86.7500439,Isla Mujeres,1,Socieconomico y ambiental
21.2282085,-86.7277126,Isla Mujeres,1,Socieconomico y ambiental
21.2592588,-86.7498626,Isla Mujeres,1,Socieconomico y ambiental
21.2277507,-86.7273654,Isla Mujeres,1,Socieconomico y ambiental
21.2583631,-86.7495627,Isla Mujeres,1,Socieconomico y ambiental
21.2591214,-86.7498479,Isla Mujeres,1,Socieconomico y ambiental
21.2276804,-86.7269578,Isla Mujeres,1,Socieconomico y ambiental
21.2583319,-86.7495469,Isla Mujeres,1,Socieconomico y ambiental
21.2573273,-86.7486937,Isla Mujeres,1,Socieconomico y ambiental
21.2272828,-86.7263498,Isla Mujeres,1,Socieconomico y ambiental
21.2348155,-86.7313447,Isla Mujeres,1,Socieconomico y ambiental
21.2575461,-86.7486073,Isla Mujeres,1,Socieconomico y ambiental
21.2271333,-86.72697,Isla Mujeres,1,Socieconomico y ambiental
21.2579854,-86.7477092,Isla Mujeres,1,Socieconomico y ambiental
21.2337692,-86.7301488,Isla Mujeres,1,Socieconomico y ambiental
21.2577366,-86.7475218,Isla Mujeres,1,Socieconomico y ambiental
21.2273799,-86.7274096,Isla Mujeres,1,Socieconomico y ambiental
21.257486,-86.7468654,Isla Mujeres,1,Socieconomico y ambiental
21.2329402,-86.7307941,Isla Mujeres,1,Socieconomico y ambiental
21.2267933,-86.72672,Isla Mujeres,1,Socieconomico y ambiental
21.2570296,-86.7480844,Isla Mujeres,1,Socieconomico y ambiental
21.2313913,-86.7299488,Isla Mujeres,1,Socieconomico y ambiental
21.2262157,-86.7276519,Isla Mujeres,1,Socieconomico y ambiental
21.2312915,-86.7299695,Isla Mujeres,1,Socieconomico y ambiental
21.2575837,-86.7469778,Isla Mujeres,1,Socieconomico y ambiental
21.226485,-86.72715,Isla Mujeres,1,Socieconomico y ambiental
21.257295,-86.7469276,Isla Mujeres,1,Socieconomico y ambiental
21.2258683,-86.727,Isla Mujeres,1,Socieconomico y ambiental
21.2255517,-86.72686,Isla Mujeres,1,Socieconomico y ambiental
21.2563311,-86.7457537,Isla Mujeres,1,Socieconomico y ambiental
21.2345444,-86.7312242,Isla Mujeres,1,Socieconomico y ambiental
21.2562038,-86.745813,Isla Mujeres,1,Socieconomico y ambiental
21.2558907,-86.7452569,Isla Mujeres,1,Socieconomico y ambiental
21.2262324,-86.7264628,Isla Mujeres,1,Socieconomico y ambiental
21.2346217,-86.7311433,Isla Mujeres,1,Socieconomico y ambiental
21.2263805,-86.7268741,Isla Mujeres,1,Socieconomico y ambiental
21.2348721,-86.7322908,Isla Mujeres,1,Socieconomico y ambiental
21.2266446,-86.7265059,Isla Mujeres,1,Socieconomico y ambiental
21.2262417,-86.7257206,Isla Mujeres,1,Socieconomico y ambiental
21.2260543,-86.7255982,Isla Mujeres,1,Socieconomico y ambiental
21.2264274,-86.7253915,Isla Mujeres,1,Socieconomico y ambiental
21.2340169,-86.7320143,Isla Mujeres,1,Socieconomico y ambiental
21.2338189,-86.7319612,Isla Mujeres,1,Socieconomico y ambiental
21.2335399,-86.7312105,Isla Mujeres,1,Socieconomico y ambiental
21.2202293,-86.7223036,Isla Mujeres,1,Socieconomico y ambiental
21.2322128,-86.7309158,Isla Mujeres,1,Socieconomico y ambiental
21.220698,-86.723066,Isla Mujeres,1,Socieconomico y ambiental
