tiempo_aqui,tiempo_casa,Sexo,riesgo_casa,riesgo_calle,riesgo_zona,riesgo_ciudad,victima
Mas de 10 ,Entre 6 y 10 ,H,A,B,A,B,No
Mas de 10 ,Mas de 10 ,H,A,A,B,A,No
Mas de 10 ,Mas de 10 ,H,D,D,D,C,No
Mas de 10 ,Mas de 10 ,M,C,D,D,D,No
Mas de 10 ,Mas de 10 ,M,A,A,A,A,No
Mas de 10 ,Mas de 10 ,M,A,E,E,E,No
Mas de 10 ,Entre 6 y 10 ,H,A,A,B,B,No
Entre 1 y 5 ,Entre 1 y 5 ,M,A,E,D,E,No
Mas de 10 ,Mas de 10 ,M,C,E,E,E,No
Mas de 10 ,Mas de 10 ,H,A,A,A,A,No
Mas de 10 ,Mas de 10 ,M,D,E,E,E,No
Mas de 10 ,Mas de 10 ,H,C,E,E,E,No
Mas de 10 ,Mas de 10 ,M,A,A,B,C,No
Mas de 10 ,Mas de 10 ,H,C,D,D,D,No
Mas de 10 ,Mas de 10 ,H,C,C,C,D,No
Mas de 10 ,Mas de 10 ,H,A,A,A,A,No
Entre 6 y 10 ,Entre 1 y 5 ,M,B,B,E,E,No
Mas de 10 ,Mas de 10 ,H,D,D,D,D,No
Entre 1 y 5 ,Entre 1 y 5 ,H,A,B,D,D,No
Mas de 10 ,Entre 1 y 5 ,M,A,A,A,A,No
Mas de 10 ,Mas de 10 ,H,B,B,B,C,No
Mas de 10 ,Mas de 10 ,M,A,C,E,E,No
Mas de 10 ,Mas de 10 ,M,A,A,A,A,No
Mas de 10 ,Mas de 10 ,H,B,C,C,C,No
Mas de 10 ,Mas de 10 ,H,A,A,A,A,No
Entre 1 y 5 ,Entre 1 y 5 ,M,A,A,A,C,No
Mas de 10 ,Entre 1 y 5 ,M,A,A,A,C,No
Mas de 10 ,Mas de 10 ,M,D,C,C,C,No
Mas de 10 ,Entre 6 y 10 ,M,A,A,A,B,No
Mas de 10 ,Mas de 10 ,H,C,E,E,E,No
