uso_salina,beneficio_aqui,Desventaja_cerca,condiciones_considera_salina,efectos_condicion_salina,actividad_limpieza,cuantos_trabajan,trabajo,actividad_productiva,interc_productos_vecinos,c_ayudan,actividad_comun_vecinos,relación_vecinos,problemas_vecinos,frecuencia_favores,vecinos_ayudan,pertenece_organización,conectados al drenaje,Edad
NINGUNO,NINGUNO,NINGUNO,CONTAMINADA,OLORES,NUNCA ,TODOS,COMERCIO,OFICIO,NUNCA,NUNCA,RESPUESTA,RESPUESTA,RESPUESTA,RESPUESTA,RESPUESTA,RESPUESTA,RESPUESTA,B
BASURERO,SOCIAL,NINGUNO,CONTAMINADA,OLORES,SIEMPRE,OTRO,GOBIERNO,NINGUNA,SIEMPRE,NUNCA,NO,BUENA,NUNCA,SIEMPRE,NUNCA,POLÍTICA,NO SE,B
BASURERO,NINGUNO,AMBIENTAL,SUCIA,OLORES,NUNCA ,TODOS,COMERCIO,NINGUNA,A VECES,NUNCA,NO,BUENA,NUNCA,A VECES,A VECES,NINGUNA,SI ,B
OTRO,NINGUNO,NINGUNO,SUCIA,OLORES,NUNCA ,OTRO,OTRO,OFICIO,NUNCA,NUNCA,NO,BUENA,NUNCA,SIEMPRE,SIEMPRE,RELIGIOSA,SI ,A
NINGUNO,NINGUNO,AMBIENTAL,CONTAMINADA,OLORES,A VECES,OTRO,TURISMO,NINGUNA,A VECES,SIEMPRE,NO,BUENA,NUNCA,A VECES,SIEMPRE,NINGUNA,SI ,A
NINGUNO,AMBIENTAL,NINGUNO,CONTAMINADA,OLORES,SIEMPRE,UNO,TURISMO,NINGUNA,NUNCA,NUNCA,NO,BUENA,NUNCA,A VECES,A VECES,NINGUNA,SI ,A
NINGUNO,NINGUNO,AMBIENTAL,SUCIA,OLORES,SIEMPRE,NINGUNO,OTRO,CULTIVO,NUNCA,NUNCA,NO,BUENA,NUNCA,A VECES,SIEMPRE,NINGUNA,SI ,A
NINGUNO,NINGUNO,NINGUNO,CONTAMINADA,OTRO,NUNCA ,TODOS,COMERCIO,OFICIO,NUNCA,NUNCA,NO,BUENA,NUNCA,NUNCA,A VECES,NINGUNA,NO,B
NINGUNO,NINGUNO,AMBIENTAL,SUCIA,OLORES,SIEMPRE,TODOS,COMERCIO,OFICIO,NUNCA,NUNCA,NO,BUENA,NUNCA,NUNCA,NUNCA,NINGUNA,SI ,B
NINGUNO,AMBIENTAL,NINGUNO,SUCIA,OTRO,SIEMPRE,UNO,COMERCIO,NINGUNA,NUNCA,SIEMPRE,NO,BUENA,NUNCA,SIEMPRE,SIEMPRE,NINGUNA,SI ,A
