edicion,word,Sentiment,Sentiment
abandonada,abandonada,1,negativo
accesible,acceder,6,positivo
accesible,accesible,6,positivo
accesible,accesibles,6,positivo
actividad,act,6,positivo
actividad,actividad,6,positivo
actividad,actividades,6,positivo
actividad,kayac,6,positivo
actividad,lanchita,6,positivo
acuerdo,acuerdo,4,neutro
adventista,adventista,4,neutro
agencia,agencia,4,neutro
agosto,agosto,4,neutro
agradable,agradable,6,positivo
agua,agua,5,positivo
agua,potable,5,positivo
aguakan,aguakan,4,neutro
aledanas,aledanas,4,neutro
alguno,algun,4,neutro
alguno,alguno,4,neutro
alguno,algunos,4,neutro
alta,alta,6,positivo
ama,ama,6,positivo
amable,amabilidad,6,positivo
amable,amabl,6,positivo
amable,amable,6,positivo
amable,amables,6,positivo
ambiental,ambiental,6,positivo
ambiente,ambiente,6,positivo
andador,andador,6,positivo
andador,malecon,6,positivo
andador,parque,6,positivo
animales,animales,5,positivo
animales,ballena,5,positivo
animales,tiburon,5,positivo
anos,anos,4,neutro
antes,anterior,1,negativo
antes,antes,1,negativo
antes,pasada,1,negativo
apatica,apatica,2,negativo
apesta,apesta,3,negativo
apesta,huele,3,negativo
apiqroo,apiqroo,4,neutro
aportacion,aportacion,5,aportacion
aproximadamente,aproximadamente,4,neutro
aqui,aqui,4,neutro
archivista,archivista,4,neutro
arreglar,arreglar,6,positivo
arreglar,remodelacion,6,positivo
arreglar,retomar,6,positivo
artesanal,artesanal,5,positivo
asignacion,asignacion,2,negativo
asignacion,tocaron,2,negativo
asignacion,toco,2,negativo
asistirian,asistirian,6,positivo
atento,atendio,6,positivo
atento,atento,6,positivo
atractivo,atractivo,5,positivo
atras,atras,4,neutro
autoconsumo,autoconsumo,4,neutro
aves,aves,6,positivo
ayudaria,ayuda,6,positivo
ayudaria,ayudaria,6,positivo
ayudaria,ayudo,6,positivo
ayudaria,colaborar,6,positivo
barato,barato,5,positivo
barato,economica,5,positivo
barato,economico,5,positivo
basura,basura,3,negativo
basura,escombro,3,negativo
basura,residuos,3,negativo
basura,tirar,3,negativo
bombeado,bombeado,1,negativo
bote,bote,2,negativo
buena,bien,5,positivo
buena,buen,5,positivo
buena,buena,5,positivo
buena,buenas,5,positivo
buena,bueno,5,positivo
buscar,buscar,4,neutro
cabildo,cabildo,4,neutro
cada,cada,4,neutro
cajera,cajera,4,neutro
calor,calor,2,negativo
cano,cano,4,neutro
carro,carro,4,neutro
carro,carros,4,neutro
casa,casa,4,neutro
casa,casas,4,neutro
catolica,catolica,4,neutro
cayo,cayo,2,negativo
cercania,centrica,5,positivo
cercania,centro,5,positivo
cercania,cerca,5,positivo
cercania,cercania,5,positivo
cercania,cercanos,5,positivo
cerveza,cerveza,4,neutro
chef,chef,4,neutro
chica,chica,4,neutro
chica,lachica,4,neutro
clases,clases,4,neutro
club,club,4,neutro
coco,coco,5,positivo
colonia,colonia,5,positivo
comercios,comercios,5,positivo
comida,comida,4,neutro
comodidad,comodidad,6,positivo
compraron,compran,5,positivo
compraron,compraron,5,positivo
comunicacion,comenta,6,positivo
comunicacion,comunicacion,6,positivo
comunicacion,contestar,6,positivo
comunicacion,opinar,6,positivo
comunicacion,respondieron,6,positivo
condiciones,condiciones,4,neutro
conectada,conectadas,4,neutro
conectada,conectar,4,neutro
conoce,conoce,5,positivo
conoce,conocen,5,positivo
conoce,conocia,5,positivo
conoce,conocimiento,5,positivo
conoce,conocio,5,positivo
conoce,sabe,5,positivo
conoce,sabia,5,positivo
conservar,conservar,6,positivo
conservar,conserve,6,positivo
contacto,contacto,4,neutro
contador,contador,4,neutro
contaminada,contaminacion,3,negativo
contaminada,contaminada,3,negativo
contaminada,contaminado,3,negativo
continuamente,continuamente,4,neutro
coopera,apoyo,6,positivo
coopera,cooperador,6,positivo
coopera,cooperan,6,positivo
coopera,coopero,6,positivo
cosas,cosas,4,neutro
costumbre,costumbre,4,neutro
crecen,crecen,4,neutro
criadero,criadero,2,negativo
cruza,cruza,4,neutro
cuarto,cuarto,4,neutro
cuartos,cuaros,4,neutro
cuartos,cuartos,4,neutro
cuidar,cuidado,6,positivo
cuidar,cuidar,6,positivo
da,da,4,neutro
daban,daban,4,neutro
dentro,dentro,4,neutro
deporte,deporte,4,neutro
deporte,deportes,4,neutro
deporte,deportiva,4,neutro
desconoce,desconoce,1,negativo
dificil,dificl,2,negativo
disponible,dia,5,positivo
disponible,disponibilidad,5,positivo
disponible,disponible,5,positivo
disponible,dispuesta,5,positivo
disponible,horario,5,positivo
distintas,distintas,4,neutro
domo,domo,4,neutro
dos,dos,4,neutro
drenaje,drenaje,1,negativo
duenos,duenos,1,negativo
ecologica,ecologica,5,positivo
economia,economia,5,positivo
economia,economicas,5,positivo
ecoturismo,ecoturismo,6,positivo
ecoturismo,ecoturistico,6,positivo
edad,edad,4,neutro
electricista,electricista,1,negativo
embutan,embutan,4,neutro
empleotemporal,empleotemporal,4,neutro
encargada,admon,4,neutro
encargada,encargada,4,neutro
encuentra,encuentra,5,positivo
enfermedad,enferma,3,negativo
enfermedad,enfermedad,3,negativo
enfriar,enfriar,2,negativo
enteran,enteran,4,neutro
entrevista,encuesta,5,positivo
entrevista,entrevista,5,positivo
entrevista,entrevistamos,5,positivo
espacio,espacio,4,neutro
establecieron,establecieron,4,neutro
estacionan,estacionan,4,neutro
estaria,estaria,4,neutro
extranjeros,americanos,1,negativo
extranjeros,extranjeros,1,negativo
fachada,fachada,4,neutro
facilidad,facildad,5,positivo
familia,abuelos,6,positivo
familia,consuegra,6,positivo
familia,familia,6,positivo
familia,familiar,6,positivo
familia,familiares,6,positivo
familia,hermana,6,positivo
familia,hermano,6,positivo
familia,hija,6,positivo
familia,hijas,6,positivo
