edicion,word,Sentiment,Sentiment
abandonada,abandonada,-1,negativo
accesible,acceder,3,positivo
accesible,accesible,3,positivo
accesible,accesibles,3,positivo
actividad,act,3,positivo
actividad,actividad,3,positivo
actividad,actividades,3,positivo
actividad,kayac,3,positivo
actividad,lanchita,3,positivo
acuerdo,acuerdo,1,neutro
adventista,adventista,1,neutro
agencia,agencia,1,neutro
agosto,agosto,1,neutro
agradable,agradable,3,positivo
agua,agua,2,positivo
agua,potable,2,positivo
aguakan,aguakan,1,neutro
aledanas,aledanas,1,neutro
alguno,algun,1,neutro
alguno,alguno,1,neutro
alguno,algunos,1,neutro
alta,alta,3,positivo
ama,ama,3,positivo
amable,amabilidad,3,positivo
amable,amabl,3,positivo
amable,amable,3,positivo
amable,amables,3,positivo
ambiental,ambiental,3,positivo
ambiente,ambiente,3,positivo
andador,andador,3,positivo
andador,malecon,3,positivo
andador,parque,3,positivo
animales,animales,2,positivo
animales,ballena,2,positivo
animales,tiburon,2,positivo
anos,anos,1,neutro
antes,anterior,-1,negativo
antes,antes,-1,negativo
antes,pasada,-1,negativo
apatica,apatica,-2,negativo
apesta,apesta,-1,negativo
apesta,huele,-1,negativo
apiqroo,apiqroo,1,neutro
aportacion,aportacion,2,aportacion
aproximadamente,aproximadamente,1,neutro
aqui,aqui,1,neutro
archivista,archivista,1,neutro
arreglar,arreglar,3,positivo
arreglar,remodelacion,3,positivo
arreglar,retomar,3,positivo
artesanal,artesanal,2,positivo
asignacion,asignacion,-2,negativo
asignacion,tocaron,-2,negativo
asignacion,toco,-2,negativo
asistirian,asistirian,3,positivo
atento,atendio,3,positivo
atento,atento,3,positivo
atractivo,atractivo,2,positivo
atras,atras,1,neutro
autoconsumo,autoconsumo,1,neutro
aves,aves,3,positivo
ayudaria,ayuda,3,positivo
ayudaria,ayudaria,3,positivo
ayudaria,ayudo,3,positivo
ayudaria,colaborar,3,positivo
barato,barato,2,positivo
barato,economica,2,positivo
barato,economico,2,positivo
basura,basura,-1,negativo
basura,escombro,-1,negativo
basura,residuos,-1,negativo
basura,tirar,-1,negativo
bombeado,bombeado,-1,negativo
bote,bote,-2,negativo
buena,bien,2,positivo
buena,buen,2,positivo
buena,buena,2,positivo
buena,buenas,2,positivo
buena,bueno,2,positivo
buscar,buscar,1,neutro
cabildo,cabildo,1,neutro
cada,cada,1,neutro
cajera,cajera,1,neutro
calor,calor,-2,negativo
cano,cano,1,neutro
carro,carro,1,neutro
carro,carros,1,neutro
casa,casa,1,neutro
casa,casas,1,neutro
catolica,catolica,1,neutro
cayo,cayo,-2,negativo
cercania,centrica,2,positivo
cercania,centro,2,positivo
cercania,cerca,2,positivo
cercania,cercania,2,positivo
cercania,cercanos,2,positivo
cerveza,cerveza,1,neutro
chef,chef,1,neutro
chica,chica,1,neutro
chica,lachica,1,neutro
clases,clases,1,neutro
club,club,1,neutro
coco,coco,2,positivo
colonia,colonia,2,positivo
comercios,comercios,2,positivo
comida,comida,1,neutro
comodidad,comodidad,3,positivo
compraron,compran,2,positivo
compraron,compraron,2,positivo
comunicacion,comenta,3,positivo
comunicacion,comunicacion,3,positivo
comunicacion,contestar,3,positivo
comunicacion,opinar,3,positivo
comunicacion,respondieron,3,positivo
condiciones,condiciones,1,neutro
conectada,conectadas,1,neutro
conectada,conectar,1,neutro
conoce,conoce,2,positivo
conoce,conocen,2,positivo
conoce,conocia,2,positivo
conoce,conocimiento,2,positivo
conoce,conocio,2,positivo
conoce,sabe,2,positivo
conoce,sabia,2,positivo
conservar,conservar,3,positivo
conservar,conserve,3,positivo
contacto,contacto,1,neutro
contador,contador,1,neutro
contaminada,contaminacion,-1,negativo
contaminada,contaminada,-1,negativo
contaminada,contaminado,-1,negativo
continuamente,continuamente,1,neutro
coopera,apoyo,3,positivo
coopera,cooperador,3,positivo
coopera,cooperan,3,positivo
coopera,coopero,3,positivo
cosas,cosas,1,neutro
costumbre,costumbre,1,neutro
crecen,crecen,1,neutro
criadero,criadero,-2,negativo
cruza,cruza,1,neutro
cuarto,cuarto,1,neutro
cuartos,cuaros,1,neutro
cuartos,cuartos,1,neutro
cuidar,cuidado,3,positivo
cuidar,cuidar,3,positivo
da,da,1,neutro
daban,daban,1,neutro
dentro,dentro,1,neutro
deporte,deporte,1,neutro
deporte,deportes,1,neutro
deporte,deportiva,1,neutro
desconoce,desconoce,-1,negativo
dificil,dificl,-2,negativo
disponible,dia,2,positivo
disponible,disponibilidad,2,positivo
disponible,disponible,2,positivo
disponible,dispuesta,2,positivo
disponible,horario,2,positivo
distintas,distintas,1,neutro
domo,domo,1,neutro
dos,dos,1,neutro
drenaje,drenaje,-1,negativo
duenos,duenos,-1,negativo
ecologica,ecologica,2,positivo
economia,economia,2,positivo
economia,economicas,2,positivo
ecoturismo,ecoturismo,3,positivo
ecoturismo,ecoturistico,3,positivo
edad,edad,1,neutro
electricista,electricista,-1,negativo
embutan,embutan,1,neutro
empleotemporal,empleotemporal,1,neutro
encargada,admon,1,neutro
encargada,encargada,1,neutro
encuentra,encuentra,2,positivo
enfermedad,enferma,-1,negativo
enfermedad,enfermedad,-1,negativo
enfriar,enfriar,-2,negativo
enteran,enteran,1,neutro
entrevista,encuesta,2,positivo
entrevista,entrevista,2,positivo
entrevista,entrevistamos,2,positivo
espacio,espacio,1,neutro
establecieron,establecieron,1,neutro
estacionan,estacionan,1,neutro
estaria,estaria,1,neutro
extranjeros,americanos,-1,negativo
extranjeros,extranjeros,-1,negativo
fachada,fachada,1,neutro
facilidad,facildad,2,positivo
familia,abuelos,3,positivo
familia,consuegra,3,positivo
familia,familia,3,positivo
familia,familiar,3,positivo
familia,familiares,3,positivo
familia,hermana,3,positivo
familia,hermano,3,positivo
familia,hija,3,positivo
familia,hijas,3,positivo
familia,marido,3,positivo
familia,padre,3,positivo
familia,suegros,3,positivo
familia,yerno,3,positivo
fauna,fauna,3,positivo
favores,favores,1,neutro
fiado,fiado,-2,negativo
fiado,fian,-2,negativo
fiestas,fiestas,1,neutro
final,final,1,neutro
fines,fines,1,neutro
fletes,fletes,1,neutro
flora,flora,3,positivo
foto,foto,1,neutro
frecuencia,frecuencia,1,neutro
frescura,frescura,2,positivo
fumigan,fumigan,-2,negativo
gallinas,gallinas,-1,negativo
ganaderia,ganaderia,1,neutro
ganas,ganas,3,positivo
gasolina,gasolina,-1,negativo
generar,generar,2,positivo
gobierno,gobierno,1,neutro
gusta,gusta,1,neutro
habia,habia,-1,negativo
habitar,habitar,-1,negativo
hace,hace,1,neutro
hace,hae,1,neutro
herencia,heredada,-2,negativo
herencia,herencia,-2,negativo
hielo,hielo,-1,negativo
huracan,huracan,-2,negativo
imagen,imagen,1,neutro
independiente,independiente,1,neutro
indiferentes,indiferentes,-1,negativo
informacion,informacion,1,neutro
ingles,ingles,1,neutro
ingresar,ingresar,2,positivo
ingresos,ingresos,2,positivo
inquilino,inquilino,1,neutro
intercambio,intercambio,1,neutro
interesada,interesada,3,positivo
interesada,interesadas,3,positivo
interesada,interesado,3,positivo
inundacion,inindaciones,-1,negativo
invertir,invertir,1,neutro
inyectar,inyectar,-1,negativo
isla,isla,1,neutro
jeova,jeova,1,neutro
lado,lado,1,neutro
limpieza,limieza,3,positivo
limpieza,limpia,3,positivo
limpieza,limpiar,3,positivo
limpieza,limpieza,3,positivo
limpieza,saneamiento,3,positivo
limpieza,sanear,3,positivo
llego,llego,1,neutro
llenaba,llenaba,1,neutro
loncheria,loncheria,1,neutro
lugar,lugar,1,neutro
lugar,lugares,1,neutro
luz,luz,2,positivo
mal,mal,-1,negativo
mancha,mancha,-1,negativo
manejar,manejar,1,neutro
manualidades,manualidades,1,neutro
mar,mar,2,positivo
marina,marina,1,neutro
marinero,marinero,1,neutro
mariscos,camarones,2,positivo
mariscos,cangrejos,2,positivo
mariscos,marisco,2,positivo
mariscos,mariscos,2,positivo
mariscos,pescado,2,positivo
mecanico,mecanico,1,neutro
media,media,1,neutro
medico,medico,1,neutro
mejor,mejor,2,positivo
mercancia,mercancia,1,neutro
merida,merida,1,neutro
mes,mes,1,neutro
mes,meses,1,neutro
meter,meter,1,neutro
mismos,mismos,1,neutro
modificando,modificando,-1,negativo
momento,momento,1,neutro
monte,matas,1,neutro
monte,monte,1,neutro
moscos,moscos,-1,negativo
moscos,mosquitos,-1,negativo
mostro,mostro,1,neutro
moto,moto,1,neutro
muerta,muerta,-1,negativo
mujeres,mujeres,1,neutro
municipal,municipal,1,neutro
municipio,municipio,1,neutro
nada,nada,-1,negativo
nada,ninguna,-1,negativo
nada,ninguno,-1,negativo
nadie,nadie,-1,negativo
natural,natrural,2,positivo
natural,natural,2,positivo
necesita,necesita,-1,negativo
necesita,necesiten,-1,negativo
negocio,fabrica,1,neutro
negocio,negocio,1,neutro
ninera,ninera,1,neutro
nivel,nivel,1,neutro
no,no,-1,negativo
normal,normal,1,neutro
nuevos,nuevos,1,neutro
observar,observar,1,neutro
originaria,islena,2,positivo
originaria,nacio,2,positivo
originaria,originaria,2,positivo
paisaje,paisaje,1,neutro
palacio,palacio,1,neutro
participativa,participar,3,positivo
participativa,participariaen,3,positivo
participativa,participativa,3,positivo
patio,pati,1,neutro
patio,patio,1,neutro
patronales,patronales,1,neutro
pensionado,pensionado,1,neutro
permite,permite,2,positivo
personas,alguien,3,positivo
personas,gente,3,positivo
personas,persona,3,positivo
personas,personas,3,positivo
personas,quien,3,positivo
pesca,pesca,3,positivo
piedra,piedra,1,neutro
plantas,plantas,2,positivo
platicas,platicas,3,positivo
pobre,pobre,-2,negativo
poco,poco,-2,negativo
ponen,ponen,1,neutro
portaron,portaron,1,neutro
posibilidad,posibilidad,3,positivo
posible,posible,1,neutro
posicion,posicion,1,neutro
practica,practica,1,neutro
precio,precio,-2,negativo
prepotentes,prepotentes,-1,negativo
prestamo,prestamo,-1,negativo
prestamo,prestamos,-1,negativo
prestamo,prestan,-1,negativo
prestamo,prestar,-1,negativo
preveenir,preveenir,1,neutro
pri,pri,1,neutro
principio,principio,1,neutro
privacidad,privacidad,2,positivo
problema,problema,-1,negativo
problema,problemas,-1,negativo
problema,problematica,-1,negativo
proceso,proceso,1,neutro
productiva,produccion,3,positivo
productiva,productiva,3,positivo
productiva,productora,3,positivo
programa,programa,1,neutro
promesas,promesas,1,neutro
propios,propios,1,neutro
proporcionaron,proporcionaron,1,neutro
proyecto,proyecto,3,positivo
queja,queja,-1,negativo
quiere,queria,1,neutro
quiere,quiere,1,neutro
recolectan,recolectan,3,positivo
recomendaciones,reecomendaciones,1,neutro
recreacion,recreacion,3,positivo
recreacion,recreamiento,3,positivo
recreacion,recreativa,3,positivo
recreacion,recreativas,3,positivo
recreacion,recreatividad,3,positivo
recreacion,recreativo,3,positivo
recreacion,recreativos,3,positivo
recuperacion,recuperacion,3,positivo
regular,regular,1,neutro
rellenar,rellenar,-2,negativo
rellenar,rellenaron,-2,negativo
renta,renta,-2,negativo
renta,rentan,-2,negativo
renta,rentar,-2,negativo
resolver,resolver,1,neutro
restaurante,restaurante,1,neutro
ride,ride,1,neutro
robo,robo,-1,negativo
robo,robos,-1,negativo
robo,ronai,-1,negativo
ropa,ropa,1,neutro
sacar,sacar,-1,negativo
sal,sal,2,positivo
salida,salida,-1,negativo
salina,salina,3,positivo
salina,salinas,3,positivo
salud,salud,3,positivo
seca,seca,-2,negativo
seca,sequen,-2,negativo
seguridad,seguridad,1,neutro
seleccion,seleccion,1,neutro
semana,semana,1,neutro
senor,senor,1,neutro
senora,senora,1,neutro
seria,seria,1,neutro
si,si,3,positivo
siembra,siembra,3,positivo
siempre,siempre,1,neutro
silvestre,silestre,3,positivo
silvestre,silvestre,3,positivo
situacion,situacion,1,neutro
sociable,sociable,3,positivo
solia,solia,1,neutro
solo,solo,-1,negativo
spa,spa,1,neutro
sube,sube,1,neutro
super,super,2,positivo
tambien,tambien,1,neutro
taxista,taxista,1,neutro
tema,tema,1,neutro
tematico,tematico,1,neutro
temporadas,temporadas,1,neutro
tenia,tenia,1,neutro
terreno,propiedades,1,neutro
terreno,terreno,1,neutro
terreno,terrenos,1,neutro
testigo,testigo,1,neutro
tiempo,tiempo,1,neutro
tienda,cerveceria,1,neutro
tienda,tienda,1,neutro
tienda,tiendita,1,neutro
tienda,tortilleria,1,neutro
timida,timida,1,neutro
timida,timido,1,neutro
todavia,todavia,-2,negativo
todo,todo,1,neutro
tour,tour,1,neutro
trabaja,trabaja,2,positivo
trabaja,trabajo,2,positivo
tranquilidad,tranquilidad,3,positivo
tranquilidad,tranquilo,3,positivo
transporte,transporte,1,neutro
turismo,turismo,3,positivo
turismo,turistico,3,positivo
unico,unico,1,neutro
veces,veces,1,neutro
vecinos,vecinos,1,neutro
vendan,vendan,1,neutro
vendan,vendieron,1,neutro
verdura,cilantro,2,positivo
verdura,epazote,2,positivo
verdura,hierba,2,positivo
verdura,tomate,2,positivo
viajes,viajes,1,neutro
vida,vida,3,positivo
vigilen,vigilen,1,neutro
visitar,visitar,1,neutro
vive,vive,3,positivo
vivir,vivir,3,positivo
volver,volver,1,neutro
votan,votan,1,neutro
yate,yate,1,neutro
